	BLOCKID10	First_POI	Second_POI	Third_POI	Fourth_POI	Fifth_POI	ARPCIncome	ARPerHEdu	ARPerWork	ARPerRMI5L	ARPer3MU	ARPopDen	ARPerAA	ARHeteInx	ARPerM1724	ARPerHOwn	ARPerSF	NIBRSclass	Place2	Report_Dat	Street_Nam
290	371190058151011	PIPER GLEN MAINTENANCE LLC	CAMPANIA	SALON PIPER GLEN	SENOR TEQUILAS MEXICAN RESTAURANT	FIRENZE RISTORANTE & BAR	inc-13/15	edu-2/15	empl-11/15	lt5y-4/15	3mu-6/12	popden-1/15	afro-1/13	hetero-2/14	youngm-8/14	own-12/15	sinpar-4/15	Credit Card/Teller Fraud	Apartment/Duplex Private Res	11-2x	BIRKDALE VALLEY
80	371190030161011	HALAS ARBORISTS	MOL AMERICA INC	KENEFICK & CO CPA PA	ADVANCED COATINGS INC	FISERV GALAXY PLUS	inc-11/15	edu-11/15	empl-7/15	lt5y-13/15	3mu-10/12	popden-6/15	afro-4/13	hetero-7/14	youngm-7/14	own-15/15	sinpar-6/15	Credit Card/Teller Fraud	Apartment/Duplex Private Res	04-0x	ARBORETUM
168	371190053011004	CIRCLE K	CAROLINA DEMOLITION	URBAN REALTY	BRAD F ICARD	CORI'S HAIR SALON	inc-4/15	edu-5/15	empl-5/15	lt5y-13/15	3mu-11/12	popden-4/15	afro-3/13	hetero-10/14	youngm-8/14	own-5/15	sinpar-4/15	Credit Card/Teller Fraud	Gas Station	08-0x	GRAHAM
188	371190047001015	PRUTECH SOLUTIONS INC	BLANCHARD COMMUNICATIONS INC	RONALD MCDONALD HOUSE OF CHARLOTTE	THE MARKETING CONSORTIUM INC	FIA CARD SERVICES NA	inc-2/15	edu-15/15	empl-2/15	lt5y-8/15	3mu-6/12	popden-3/15	afro-11/13	hetero-2/14	youngm-13/14	own-7/15	sinpar-10/15	Credit Card/Teller Fraud	Financial Institution	08-2x	TRADE
305	371190051002012	HOWEY BROTHERS CLEANING SVC	BIRS CO	LOVE WRECKER SVC	FLOWERS BY LOIS (A CORP)	ANDERTON BARBER SHOP	inc-10/15	edu-3/15	empl-2/15	lt5y-5/15	3mu-5/12	popden-7/15	afro-13/13	hetero-2/14	youngm-6/14	own-8/15	sinpar-7/15	Credit Card/Teller Fraud	Private Residence	12-0x	DRUID
215	371190028002008	BISSELL HAYES REALTORS INC	ROSEANN W HILL	REGENESIS MEDICAL SPA	BUCKLEY MCMULLEN & BUIE PA	SHARON UNITED METHODIST CHURCH	inc-14/15	edu-8/15	empl-4/15	lt5y-2/15	3mu-2/12	popden-11/15	afro-1/13	hetero-4/14	youngm-1/14	own-14/15	sinpar-1/15	Credit Card/Teller Fraud	ATM	09-2x	SHARON
59	371190043022020	CHARLOTTE FIRE DEPT	CORNERSTONE WAY-THE CROSS CHR	K & M AUTO REPAIR	A-1 CLEAN-UP & MOVERS INC	A-1 MOVERS	inc-5/15	edu-10/15	empl-6/15	lt5y-9/15	3mu-8/12	popden-11/15	afro-10/13	hetero-6/14	youngm-4/14	own-3/15	sinpar-15/15	Credit Card/Teller Fraud	Government Building	03-1x	GLENWOOD
223	371190038023010	ALDI NC LLC	INTERSTATE ROOFING CO	GOLD CLUB	CHINA KINGS BUFFET	park	inc-6/15	edu-1/15	empl-7/15	lt5y-3/15	3mu-1/12	popden-1/15	afro-6/13	hetero-9/14	youngm-11/14	own-2/15	sinpar-14/15	Credit Card/Teller Fraud	Grocery Store/Supermarket	10-0x	OLD PINEVILLE
108	371190031032017	PINEWOOD ELEMENTARY	LARS HEDENBORG INC	LEARNING COMMUNITY SOUTH	MADISON PARK COMMUNITY CHURCH	BETH SMITH REALTY INC	inc-11/15	edu-2/15	empl-14/15	lt5y-6/15	3mu-4/12	popden-2/15	afro-1/13	hetero-14/14	youngm-3/14	own-11/15	sinpar-12/15	Credit Card/Teller Fraud	Private Residence	05-0x	WEDGEWOOD
205	371190028002008	MARMI	LIZ CLAIBORNE	BILLY REID	LENSCRAFTERS	CARLYLE & COMPANY	inc-14/15	edu-8/15	empl-4/15	lt5y-2/15	3mu-2/12	popden-11/15	afro-1/13	hetero-4/14	youngm-1/14	own-14/15	sinpar-1/15	Credit Card/Teller Fraud	Shopping Mall	09-1x	SHARON
263	371190038023010	POP SHOPPE	POP SHOPPE	MCKOYS SMOKEHOUSE & SALOON	BOJANGLES RESTAURANTS INC	CAROLINA PRIME STEAKHOUSE	inc-6/15	edu-1/15	empl-7/15	lt5y-3/15	3mu-1/12	popden-1/15	afro-6/13	hetero-9/14	youngm-11/14	own-2/15	sinpar-14/15	Credit Card/Teller Fraud	ATM	10-1x	OLD PINEVILLE
147	371190058111006	GALLAGHER SYSTEMS GROUP INC	DISHA INC	SHIREY EQUIPMENT CO	FIRST COLLATERAL SERVICES INC	HUBSCRUB OF NORTH CAROLINA	inc-11/15	edu-6/15	empl-13/15	lt5y-1/15	3mu-2/12	popden-4/15	afro-3/13	hetero-7/14	youngm-5/14	own-13/15	sinpar-4/15	Credit Card/Teller Fraud	Private Residence	06-2x	CHARTER BROOK
288	371190031061021	NEW YORK LIFE INSURANCE CO	CERASEE INC	WALL CONSULTING GROUP	ACCURATE STAFFING CONSULTANTS	LUIGIS SUPER SUBS	inc-10/15	edu-6/15	empl-13/15	lt5y-6/15	3mu-7/12	popden-6/15	afro-5/13	hetero-14/14	youngm-2/14	own-12/15	sinpar-13/15	Credit Card/Teller Fraud	Private Residence	11-1x	STARBROOK
217	371190047001015	PRUTECH SOLUTIONS INC	BLANCHARD COMMUNICATIONS INC	RONALD MCDONALD HOUSE OF CHARLOTTE	THE MARKETING CONSORTIUM INC	FIA CARD SERVICES NA	inc-2/15	edu-15/15	empl-2/15	lt5y-8/15	3mu-6/12	popden-3/15	afro-11/13	hetero-2/14	youngm-13/14	own-7/15	sinpar-10/15	Credit Card/Teller Fraud	ATM	10-0x	TRADE
277	371190047001015	WARREN ASSOCIATES	R KEITH JOHNSON PA	INTERNATIONAL MINUTE PRESS	E-Z PARKING	PRIDE COMMUNICATIONS	inc-2/15	edu-15/15	empl-2/15	lt5y-8/15	3mu-6/12	popden-3/15	afro-11/13	hetero-2/14	youngm-13/14	own-7/15	sinpar-10/15	Credit Card/Teller Fraud	Other - Retail	10-2x	TRADE
220	371190028002008	BISSELL HAYES REALTORS INC	ROSEANN W HILL	REGENESIS MEDICAL SPA	BUCKLEY MCMULLEN & BUIE PA	SHARON UNITED METHODIST CHURCH	inc-14/15	edu-8/15	empl-4/15	lt5y-2/15	3mu-2/12	popden-11/15	afro-1/13	hetero-4/14	youngm-1/14	own-14/15	sinpar-1/15	Credit Card/Teller Fraud	ATM	10-0x	SHARON
133	371190054011003	HANDLED WITH CARE DAY CARE	BONSAI LEARNING CTR	CHURCH OF CHRIST TRINITY RD	COAXUM ACADEMY	UNITED CHURCH OF GOD	inc-9/15	edu-12/15	empl-12/15	lt5y-7/15	3mu-7/12	popden-15/15	afro-10/13	hetero-6/14	youngm-14/14	own-12/15	sinpar-12/15	Credit Card/Teller Fraud	Private Residence	06-1x	SLATER RIDGE
122	371190043022020	A H L INC	INTERIOR DISTRIBUTORS INC #4619	CITCO AUTOMOTIVE	CHARLOTTE FIRE DEPT	hotels	inc-5/15	edu-10/15	empl-6/15	lt5y-9/15	3mu-8/12	popden-11/15	afro-10/13	hetero-6/14	youngm-4/14	own-3/15	sinpar-15/15	Credit Card/Teller Fraud	Gas Station	05-2x	GLENWOOD
221	371190040003005	ALL PRO DRAIN SVC	OUR FUTURE CHILD CARE	WARLOCK LIMITED INC	BEEPER & CELLULAR CTR	HYATT COIN & GUN SHOP INC	inc-9/15	edu-2/15	empl-10/15	lt5y-11/15	3mu-6/12	popden-2/15	afro-13/13	hetero-6/14	youngm-14/14	own-3/15	sinpar-9/15	Credit Card/Teller Fraud	Apartment/Duplex Private Res	10-0x	PRUITT
84	371190047001015	GLI FOOD SVC	CAROLINA COACH CO	GREYHOUND LINES INC.	KOHAN GROUP	EMPLOYMENT SECURITY COMM	inc-2/15	edu-15/15	empl-2/15	lt5y-8/15	3mu-6/12	popden-3/15	afro-11/13	hetero-2/14	youngm-13/14	own-7/15	sinpar-10/15	Credit Card/Teller Fraud	Air/Bus/Train Terminal	04-1x	TRADE
94	371190028002008	SOUTHPARK OPTICAL CTR	BAUBLES	CACHE	BROOKS BROTHERS	JEFFREY I MUSLER & ASSOC	inc-14/15	edu-8/15	empl-4/15	lt5y-2/15	3mu-2/12	popden-11/15	afro-1/13	hetero-4/14	youngm-1/14	own-14/15	sinpar-1/15	Credit Card/Teller Fraud	Other - Retail	04-2x	SHARON
14	371190047001015	BLACKFINN CLT LLC	CONCRETE STRATEGIES LLC	FLAHERTY & COLLINS CONSTRUCTION	THE RITZ CARLTON HOTEL COMPANY LLC	ILLUM'E	inc-2/15	edu-15/15	empl-2/15	lt5y-8/15	3mu-6/12	popden-3/15	afro-11/13	hetero-2/14	youngm-13/14	own-7/15	sinpar-10/15	Credit Card/Teller Fraud	ATM	01-1x	TRADE
285	371190040001001	BI LO LLC	CITIFINANCIAL	BEAUTY 4U INC	NORTH CAROLINA NAILS	SEREX SERVICES INC	inc-6/15	edu-3/15	empl-8/15	lt5y-3/15	3mu-4/12	popden-1/15	afro-9/13	hetero-7/14	youngm-7/14	own-7/15	sinpar-13/15	Credit Card/Teller Fraud	Grocery Store/Supermarket	11-1x	ASHLEY
250	371190028002008	BANK OF AMERICA NATIONAL ASSOCIATIO	PRESBYTERIAN HOME AT CHARLOTTE INC	MORRISON MANAGEMENT SPECIALISTS	SHARON PRESBYTERIAN SCHOOL	SHARON PRESBYTERIAN CHURCH	inc-14/15	edu-8/15	empl-4/15	lt5y-2/15	3mu-2/12	popden-11/15	afro-1/13	hetero-4/14	youngm-1/14	own-14/15	sinpar-1/15	Credit Card/Teller Fraud	ATM	10-0x	SHARON
176	371190028002008	BISSELL HAYES REALTORS INC	ROSEANN W HILL	REGENESIS MEDICAL SPA	BUCKLEY MCMULLEN & BUIE PA	SHARON UNITED METHODIST CHURCH	inc-14/15	edu-8/15	empl-4/15	lt5y-2/15	3mu-2/12	popden-11/15	afro-1/13	hetero-4/14	youngm-1/14	own-14/15	sinpar-1/15	Credit Card/Teller Fraud	ATM	08-1x	SHARON
241	371190047001015	PRUTECH SOLUTIONS INC	BLANCHARD COMMUNICATIONS INC	RONALD MCDONALD HOUSE OF CHARLOTTE	THE MARKETING CONSORTIUM INC	FIA CARD SERVICES NA	inc-2/15	edu-15/15	empl-2/15	lt5y-8/15	3mu-6/12	popden-3/15	afro-11/13	hetero-2/14	youngm-13/14	own-7/15	sinpar-10/15	Credit Card/Teller Fraud	ATM	10-0x	TRADE
40	371190048001013	SAMS MART #3	SUPREME STYLE	K CUTHBERTSON MOBILE DETAILING	MACEDONIA BAPTIST CHURCH	MACEDONIA BAPTIST RECREATION	inc-6/15	edu-6/15	empl-10/15	lt5y-6/15	3mu-5/12	popden-14/15	afro-12/13	hetero-1/14	youngm-2/14	own-3/15	sinpar-1/15	Credit Card/Teller Fraud	Gas Station	02-1x	LASALLE
167	371190028002008	MARMI	LIZ CLAIBORNE	BILLY REID	LENSCRAFTERS	CARLYLE & COMPANY	inc-14/15	edu-8/15	empl-4/15	lt5y-2/15	3mu-2/12	popden-11/15	afro-1/13	hetero-4/14	youngm-1/14	own-14/15	sinpar-1/15	Credit Card/Teller Fraud	Shopping Mall	07-2x	SHARON
119	371190028002008	SOUTHPARK OPTICAL CTR	BAUBLES	CACHE	BROOKS BROTHERS	JEFFREY I MUSLER & ASSOC	inc-14/15	edu-8/15	empl-4/15	lt5y-2/15	3mu-2/12	popden-11/15	afro-1/13	hetero-4/14	youngm-1/14	own-14/15	sinpar-1/15	Credit Card/Teller Fraud	Shopping Mall	05-2x	SHARON
17	371190047001015	CITY OF CHARLOTTE CHARLOTTE REGIONA	BOBCATS	BELLACINO'S PIZZA & GRINDERS	PRITCHARD SPORTS & ENTERTAINMENT G	CROWN CORR INC	inc-2/15	edu-15/15	empl-2/15	lt5y-8/15	3mu-6/12	popden-3/15	afro-11/13	hetero-2/14	youngm-13/14	own-7/15	sinpar-10/15	Credit Card/Teller Fraud	Air/Bus/Train Terminal	01-1x	TRADE
77	371190031031006	KHL DESIGNS	FORMULA ONE COATING	MUSIC MAX DJ SVC	LORIN WAYNE BULLARD	TELESERVICES CONSOLIDATED INC	inc-10/15	edu-3/15	empl-14/15	lt5y-11/15	3mu-10/12	popden-6/15	afro-1/13	hetero-7/14	youngm-1/14	own-15/15	sinpar-3/15	Credit Card/Teller Fraud	Private Residence	04-0x	LONGWOOD
41	371190038023020	BRANCH BANKING & TRUST	KFC	HONEY BAKED HAM	BLUE CHIP INSURANCE	A SHEAR EXCITEMENT	inc-6/15	edu-1/15	empl-7/15	lt5y-3/15	3mu-1/12	popden-6/15	afro-7/13	hetero-10/14	youngm-8/14	own-5/15	sinpar-6/15	Credit Card/Teller Fraud	ATM	02-1x	WOODLAWN
281	371190047001015	BANK OF AMERICA NATIONAL ASSOCIATIO	ACCENTURE TECHNOLOGY SOLUTIONS	BYTES	PRO-BUILD LLC	PROBUILD EAST LLC	inc-2/15	edu-15/15	empl-2/15	lt5y-8/15	3mu-6/12	popden-3/15	afro-11/13	hetero-2/14	youngm-13/14	own-7/15	sinpar-10/15	Credit Card/Teller Fraud	ATM	11-0x	TRADE
134	371190023002001	FOOD LION	USPS CLT-RANDOLPH STA	US POST OFFICE	US POST OFFICE	DELIGHT CLEANERS	inc-1/15	edu-13/15	empl-1/15	lt5y-12/15	3mu-10/12	popden-14/15	afro-10/13	hetero-2/14	youngm-4/14	own-3/15	sinpar-15/15	Credit Card/Teller Fraud	Grocery Store/Supermarket	06-1x	WENDOVER
173	371190047001015	TRADE CENTER OFFICE	BANK OF AMERICA NATIONAL ASSOCIATIO	BURGER KING	BOJANGLES	ALLIEDBARTON NC LLC	inc-2/15	edu-15/15	empl-2/15	lt5y-8/15	3mu-6/12	popden-3/15	afro-11/13	hetero-2/14	youngm-13/14	own-7/15	sinpar-10/15	Credit Card/Teller Fraud	Air/Bus/Train Terminal	08-1x	TRADE
63	371190040001009	KEVIN Q WADE	WADE SALES	WEYLAND APARTMENTS	LAURANCE REALTY ASSOCIATES LLC	AMSTERDAM VENTURES	inc-6/15	edu-3/15	empl-8/15	lt5y-3/15	3mu-4/12	popden-1/15	afro-9/13	hetero-7/14	youngm-7/14	own-6/15	sinpar-13/15	Credit Card/Teller Fraud	Private Residence	03-1x	MARLOWE
314	371190047001015	PRUTECH SOLUTIONS INC	BLANCHARD COMMUNICATIONS INC	RONALD MCDONALD HOUSE OF CHARLOTTE	THE MARKETING CONSORTIUM INC	FIA CARD SERVICES NA	inc-2/15	edu-15/15	empl-2/15	lt5y-8/15	3mu-6/12	popden-3/15	afro-11/13	hetero-2/14	youngm-13/14	own-7/15	sinpar-10/15	Credit Card/Teller Fraud	ATM	12-0x	TRADE
161	371190030131008	STEVEN D BELL & CO (A CORP)	ME DEVCO NC LTD	BRIAN LEE ELLIS	ASANA ACTIVEWEAR LLC	LEPOW REALTY INC	inc-14/15	edu-9/15	empl-10/15	lt5y-4/15	3mu-6/12	popden-11/15	afro-1/13	hetero-1/14	youngm-2/14	own-15/15	sinpar-6/15	Credit Card/Teller Fraud	Apartment/Duplex Private Res	07-2x	REAFIELD
316	371190030073008	SHORT ALERT	ELBERT FINANCIAL CONSULTING INC	HOPE MASONRY	HOME PORTRAITS	NORTH SOUTH TELCOM INC	inc-14/15	edu-7/15	empl-10/15	lt5y-1/15	3mu-2/12	popden-7/15	afro-1/13	hetero-3/14	youngm-1/14	own-15/15	sinpar-1/15	Credit Card/Teller Fraud	Private Residence	12-0x	BROADFIELD
73	371190038023020	THE MART ENTERPRISES INC	hotels	DAYS INN-WOODLAWN RD CAROWINDS	TRES PESOS BAR & GRILL	CAPTAIN DS	inc-6/15	edu-1/15	empl-7/15	lt5y-3/15	3mu-1/12	popden-6/15	afro-7/13	hetero-10/14	youngm-8/14	own-5/15	sinpar-6/15	Credit Card/Teller Fraud	Convenience Store	04-0x	WOODLAWN
336	371190058172010	AMOCO FOOD SHOP	BFS RETAIL OPERATIONS LLC	PRO CARE AUTOMOTIVE SVC CTR	MCALISTERS DELI	GOLF CLUB AT BALLANTYNE RESORT LLC	inc-12/15	edu-6/15	empl-10/15	lt5y-1/15	3mu-2/12	popden-15/15	afro-3/13	hetero-5/14	youngm-2/14	own-6/15	sinpar-7/15	Credit Card/Teller Fraud	Gas Station	12-2x	BALLANTYNE COMMONS
335	371190029044000	BISTANY DESIGN LTD (A CORP)	BOURGEOISIE INC	TECHNEKES LLC	THE SHOPPING CENTER GROUP LLC	MAHARAM FABRIC CORPORATION	inc-12/15	edu-2/15	empl-14/15	lt5y-6/15	3mu-8/12	popden-7/15	afro-2/13	hetero-6/14	youngm-6/14	own-6/15	sinpar-2/15	Credit Card/Teller Fraud	Other - Commercial Place	12-2x	CEDAR
120	371190052001005	CAROLINA CARPET AND VINYL INC	JOHN MILLER & ASSOCIATES INC	THE SIDBURY GROUP LLC	MURRAY SUPPLY COMPANY INC	SP RICHARDS	inc-5/15	edu-5/15	empl-6/15	lt5y-7/15	3mu-3/12	popden-1/15	afro-13/13	hetero-14/14	youngm-11/14	own-5/15	sinpar-12/15	Credit Card/Teller Fraud	Other - Commercial Place	05-2x	32ND
46	371190028002008	SOUTHPARK OPTICAL CTR	BAUBLES	CACHE	BROOKS BROTHERS	JEFFREY I MUSLER & ASSOC	inc-14/15	edu-8/15	empl-4/15	lt5y-2/15	3mu-2/12	popden-11/15	afro-1/13	hetero-4/14	youngm-1/14	own-14/15	sinpar-1/15	Credit Card/Teller Fraud	Other - Retail	02-2x	SHARON
258	371190030161000	ALLTEL COMMUNICATIONS LLC	SUBWAY SANDWICHES & SALADS	WAL-MART STORES INC	walmart	BARNES & NOBLE BOOKSELLERS	inc-11/15	edu-11/15	empl-7/15	lt5y-13/15	3mu-10/12	popden-10/15	afro-4/13	hetero-11/14	youngm-6/14	own-2/15	sinpar-6/15	Credit Card/Teller Fraud	Grocery Store/Supermarket	10-1x	PINEVILLE-MATTHEWS
247	371190050001000	YOUNG WOMENS CHRISTIAN ASSN	PARK AT OAKLAWN	JES TRANSPORTATION	DOUBLE OAKS PRESCHOOL	BEREAN SEVENTH DAY ADVENTIST	inc-4/15	edu-14/15	empl-9/15	lt5y-10/15	3mu-9/12	popden-10/15	afro-13/13	hetero-6/14	youngm-10/14	own-9/15	sinpar-14/15	Credit Card/Teller Fraud	Private Residence	10-0x	STROUD PARK
256	371190058171003	HAMMERHEAD CONTRACTING INC	PVL INC	NEW OUTLOOK INC	CLONTZ COMMERCIAL INVESTMENTS	MERCURY ASSOCIATES CONSULTING INC	inc-12/15	edu-4/15	empl-14/15	lt5y-1/15	3mu-3/12	popden-2/15	afro-1/13	hetero-2/14	youngm-2/14	own-12/15	sinpar-4/15	Credit Card/Teller Fraud	Private Residence	10-1x	DEERPARK
308	371190030062002	DAINTY GIRLS	CMB FARRIER SERVICE INC	THE LAW OFFICES OF TONY Y KIM PC	RILEY RENOVATIONS	FANCY UP WALLPAPERING	inc-13/15	edu-6/15	empl-11/15	lt5y-5/15	3mu-8/12	popden-12/15	afro-3/13	hetero-6/14	youngm-3/14	own-9/15	sinpar-4/15	Credit Card/Teller Fraud	Apartment/Duplex Private Res	12-0x	HEATHSTEAD
90	371190013001004	PEOPLES BANK INC	CAROLINA VALUE VILLAGE INC	FAMILY DOLLAR STORE	IMBACTO MUSICAL II	SAV WAY FOODS INC	inc-8/15	edu-10/15	empl-6/15	lt5y-6/15	3mu-4/12	popden-10/15	afro-12/13	hetero-2/14	youngm-7/14	own-8/15	sinpar-13/15	Credit Card/Teller Fraud	ATM	04-2x	CENTRAL
259	371190047001015	hotels	THE RITZ CARLTON HOTEL COMPANY LLC	ILLUM'E	OMNI CHARLOTTE HOTEL	CONCRETE STRATEGIES LLC	inc-2/15	edu-15/15	empl-2/15	lt5y-8/15	3mu-6/12	popden-3/15	afro-11/13	hetero-2/14	youngm-13/14	own-7/15	sinpar-10/15	Credit Card/Teller Fraud	ATM	10-1x	TRADE
114	371190036002007	AL'S MINI MART	SERVICE METAL OF THE CAROLINAS	JONES GRADING & FENCING INC	SOUTHERN TRUCK SERVICE INC	TONETECH	inc-10/15	edu-12/15	empl-13/15	lt5y-10/15	3mu-4/12	popden-12/15	afro-9/13	hetero-8/14	youngm-2/14	own-11/15	sinpar-12/15	Credit Card/Teller Fraud	Private Residence	05-1x	TOOMEY
69	371190040001001	ASHLEY ROAD AMOCO	WOODIE ENTERPRISES INC	WOODIE ENTERPRISES INC	WIGGAMS WHOLESALE	PUBLIC STORAGE	inc-6/15	edu-3/15	empl-8/15	lt5y-3/15	3mu-4/12	popden-1/15	afro-9/13	hetero-7/14	youngm-7/14	own-7/15	sinpar-13/15	Credit Card/Teller Fraud	Gas Station	03-2x	ASHLEY
79	371190024003004	RANDOLPH PARKS APARTMENTS	MC LAIN HALL CO	MC LAIN HALL	THE ERIC HARRIS AGENCY	EDJONES GROUP	inc-15/15	edu-3/15	empl-11/15	lt5y-2/15	3mu-3/12	popden-1/15	afro-1/13	hetero-6/14	youngm-1/14	own-5/15	sinpar-4/15	Credit Card/Teller Fraud	Apartment/Duplex Private Res	04-0x	RANDOLPH
7	371190008001015	LEE HOUSE INC	JACOBS LADDER JOB CENTER INC	CHARLOTTE STREET MAINTENANCE	SEIGLE POINT	CHARLOTTE SPECIAL SVC DIV	inc-3/15	edu-10/15	empl-3/15	lt5y-11/15	3mu-5/12	popden-9/15	afro-9/13	hetero-7/14	youngm-3/14	own-7/15	sinpar-6/15	Credit Card/Teller Fraud	Other - Retail	01-0x	SEIGLE
289	371190030161000	ALLTEL COMMUNICATIONS LLC	SUBWAY SANDWICHES & SALADS	WAL-MART STORES INC	walmart	BARNES & NOBLE BOOKSELLERS	inc-11/15	edu-11/15	empl-7/15	lt5y-13/15	3mu-10/12	popden-10/15	afro-4/13	hetero-11/14	youngm-6/14	own-2/15	sinpar-6/15	Credit Card/Teller Fraud	Department Store	11-1x	PINEVILLE-MATTHEWS
307	371190039023002	HILL LETTERING SVC	MORRIS CLEMENT JR LIFE & HLTH	ITS LIKE POETRY FROM THE GRILL	A TOUCH OF H2O	PRINCESS PALACE LEARNING INC	inc-5/15	edu-3/15	empl-13/15	lt5y-13/15	3mu-9/12	popden-3/15	afro-11/13	hetero-3/14	youngm-9/14	own-1/15	sinpar-13/15	Credit Card/Teller Fraud	Private Residence	12-0x	CHELVESTON
319	371190030132018	PETRO EXPRESS INC.	CVS RX SERVICES INC T089	RYAN HOMES BLAKENEY GREENS	MISYS HEALTHCARE SYSTEMS	MCDONALDS	inc-12/15	edu-7/15	empl-11/15	lt5y-1/15	3mu-1/12	popden-8/15	afro-1/13	hetero-8/14	youngm-2/14	own-13/15	sinpar-5/15	Credit Card/Teller Fraud	Gas Station	12-1x	REA
135	371190029044000	VOSWINKEL CHIROPRACTIC	GOAT WAGON GROCERIES INC	QUIZNOS SUB	HSC PARTNERS LLC	DOMAINE SERENE VINEYARDS & WINERY I	inc-12/15	edu-2/15	empl-14/15	lt5y-6/15	3mu-8/12	popden-7/15	afro-2/13	hetero-6/14	youngm-6/14	own-6/15	sinpar-2/15	Credit Card/Teller Fraud	Grocery Store/Supermarket	06-1x	CEDAR
183	371190030161000	STATION OPERATION INC	MECKLENBURG CO ALCOHOLIC CONTROL	ROTELLI PIZZA & PASTA	PANERA BREAD	BANK OF AMERICA NATIONAL ASSOCIATIO	inc-11/15	edu-11/15	empl-7/15	lt5y-13/15	3mu-10/12	popden-10/15	afro-4/13	hetero-11/14	youngm-6/14	own-2/15	sinpar-6/15	Credit Card/Teller Fraud	Gas Station	08-2x	PINEVILLE-MATTHEWS
292	371190047001015	TRADE CENTER OFFICE	BANK OF AMERICA NATIONAL ASSOCIATIO	BURGER KING	BOJANGLES	ALLIEDBARTON NC LLC	inc-2/15	edu-15/15	empl-2/15	lt5y-8/15	3mu-6/12	popden-3/15	afro-11/13	hetero-2/14	youngm-13/14	own-7/15	sinpar-10/15	Credit Card/Teller Fraud	Bus - CATS Bus/Vehicle	11-2x	TRADE
23	371190053011004	PETRO EXPRESS	PLASTIC PLUS AWARDS CO	SPATCO INC	HERTZ EQUIPMENT RENTAL #9321	SELECTRUCKS OF CHARLOTTE	inc-4/15	edu-5/15	empl-5/15	lt5y-13/15	3mu-11/12	popden-4/15	afro-3/13	hetero-10/14	youngm-8/14	own-5/15	sinpar-4/15	Credit Card/Teller Fraud	Gas Station	01-2x	GRAHAM
166	371190047001015	BLACKFINN CLT LLC	CONCRETE STRATEGIES LLC	FLAHERTY & COLLINS CONSTRUCTION	THE RITZ CARLTON HOTEL COMPANY LLC	ILLUM'E	inc-2/15	edu-15/15	empl-2/15	lt5y-8/15	3mu-6/12	popden-3/15	afro-11/13	hetero-2/14	youngm-13/14	own-7/15	sinpar-10/15	Credit Card/Teller Fraud	Bar/Tavern/Nightclub	07-2x	TRADE
44	371190028002008	SOUTHPARK OPTICAL CTR	BAUBLES	CACHE	BROOKS BROTHERS	JEFFREY I MUSLER & ASSOC	inc-14/15	edu-8/15	empl-4/15	lt5y-2/15	3mu-2/12	popden-11/15	afro-1/13	hetero-4/14	youngm-1/14	own-14/15	sinpar-1/15	Credit Card/Teller Fraud	Other - Retail	02-2x	SHARON
38	371190047001015	C A P S INC	MARRIOTT ADMINISTRATION	MARRIOTT HOTELS	GRIER & FURR	SHOWMARS INDEPENDENCE INC	inc-2/15	edu-15/15	empl-2/15	lt5y-8/15	3mu-6/12	popden-3/15	afro-11/13	hetero-2/14	youngm-13/14	own-7/15	sinpar-10/15	Credit Card/Teller Fraud	Hotel/Motel	02-1x	TRADE
101	371190030161000	ALLTEL COMMUNICATIONS LLC	SUBWAY SANDWICHES & SALADS	WAL-MART STORES INC	walmart	BARNES & NOBLE BOOKSELLERS	inc-11/15	edu-11/15	empl-7/15	lt5y-13/15	3mu-10/12	popden-10/15	afro-4/13	hetero-11/14	youngm-6/14	own-2/15	sinpar-6/15	Credit Card/Teller Fraud	Grocery Store/Supermarket	05-0x	PINEVILLE-MATTHEWS
126	371190058172000	AUTOMATED HEALTHCARE INC	HERB GROSS & CO	NUTRO PRODUCTS INC	MARK BIVENS & ASSOCIATES INC	NJE LTD	inc-12/15	edu-6/15	empl-10/15	lt5y-1/15	3mu-2/12	popden-2/15	afro-1/13	hetero-6/14	youngm-2/14	own-15/15	sinpar-3/15	Credit Card/Teller Fraud	Private Residence	06-0x	OAK POND
47	371190038023020	THE REDDOOR	24 HOUR SALON	KRISPY KREME	BANKERS RAW BAR	GENTLEMAN'S CLUB	inc-6/15	edu-1/15	empl-7/15	lt5y-3/15	3mu-1/12	popden-6/15	afro-7/13	hetero-10/14	youngm-8/14	own-5/15	sinpar-6/15	Credit Card/Teller Fraud	Other - Commercial Place	02-2x	WOODLAWN
95	371190038023020	BRANCH BANKING & TRUST	KFC	HONEY BAKED HAM	BLUE CHIP INSURANCE	A SHEAR EXCITEMENT	inc-6/15	edu-1/15	empl-7/15	lt5y-3/15	3mu-1/12	popden-6/15	afro-7/13	hetero-10/14	youngm-8/14	own-5/15	sinpar-6/15	Credit Card/Teller Fraud	ATM	04-2x	WOODLAWN
306	371190008001015	RAY OF HOPE RECREATION CTR	ST PAUL CHILD DEVELOPMENT CENTER	FRIENDLY STORE #2	BELMONT COMMUNITY DEVELOPMENT	MC ADEN PARK	inc-3/15	edu-10/15	empl-3/15	lt5y-11/15	3mu-5/12	popden-9/15	afro-9/13	hetero-7/14	youngm-9/14	own-7/15	sinpar-6/15	Credit Card/Teller Fraud	Private Residence	12-0x	HARRILL
