	BLOCKID10	First_POI	Second_POI	Third_POI	Fourth_POI	Fifth_POI	ARPCIncome	ARPerHEdu	ARPerWork	ARPerRMI5L	ARPer3MU	ARPopDen	ARPerAA	ARHeteInx	ARPerM1724	ARPerHOwn	ARPerSF	NIBRSclass	Place2	Report_Dat	Street_Nam
630	371190013001004	BALANCE STAFFING CHARLOTTE WK	drinking	HONG KONG VINTAGE	TOMMY'S PUB	NIKIS INT'L LTD (A CORP)	inc-8/15	edu-10/15	empl-6/15	lt5y-6/15	3mu-4/12	popden-10/15	afro-12/13	hetero-2/14	youngm-7/14	own-8/15	sinpar-13/15	Drug/Narcotic Violations	Gas Station	09-0x	CENTRAL
847	371190001001026	REIDS FINE FOOD OFFICE	BRIXX CATERING	TARRADIDDLE PLAYERS	PUBLIC LIBRARY OF CHARLOTTE&MEC CTY	CHILDREN'S THEATRE OF CHARLOTTE INC	inc-15/15	edu-1/15	empl-15/15	lt5y-14/15	3mu-11/12	popden-12/15	afro-6/13	hetero-12/14	youngm-13/14	own-12/15	sinpar-6/15	Drug/Narcotic Violations	Other - Public/Non-Residential	12-0x	6TH
451	371190039023000	WEST BOULEVARD GROCERY	LUNN ENTERPRISES INC	LAKEWOOD MANOR APARTMENTS	JACK IN THE BOX RESTAURANTS	GOLDEN WOK RESTAURANT INC	inc-5/15	edu-3/15	empl-13/15	lt5y-13/15	3mu-9/12	popden-1/15	afro-9/13	hetero-9/14	youngm-10/14	own-9/15	sinpar-14/15	Drug/Narcotic Violations	Other - Residential	06-2x	WATSON
857	371190034003005	SOUTHSIDE BARBER SHOP	PARADISE AUTO INC	CONCEPT BUILDING & RESTORATION INC	HEARTBRIGHT FOUNDATION	FRYDAY & DOYNE INC	inc-13/15	edu-3/15	empl-12/15	lt5y-6/15	3mu-7/12	popden-13/15	afro-3/13	hetero-6/14	youngm-12/14	own-7/15	sinpar-3/15	Drug/Narcotic Violations	Open Field	12-0x	FAIRWOOD
44	371190023002004	SANDWICH SHOP & FOOD STORE	SANDWICH SHOP	GRIER PARK APARTMENTS	HOUSE OF GOD CLEANING SVC	A PREFERRED WOMEN'S HEALTH CTR	inc-1/15	edu-13/15	empl-1/15	lt5y-12/15	3mu-10/12	popden-15/15	afro-10/13	hetero-5/14	youngm-4/14	own-3/15	sinpar-15/15	Drug/Narcotic Violations	Other - Retail	01-2x	SAM DRENAN
122	371190023002004	SANDWICH SHOP & FOOD STORE	SANDWICH SHOP	GRIER PARK APARTMENTS	HOUSE OF GOD CLEANING SVC	A PREFERRED WOMEN'S HEALTH CTR	inc-1/15	edu-13/15	empl-1/15	lt5y-12/15	3mu-10/12	popden-15/15	afro-10/13	hetero-5/14	youngm-4/14	own-3/15	sinpar-15/15	Drug/Narcotic Violations	Other - Commercial Place	02-1x	SAM DRENAN
251	371190040001001	ASHLEY ROAD AMOCO	WOODIE ENTERPRISES INC	WOODIE ENTERPRISES INC	WIGGAMS WHOLESALE	PUBLIC STORAGE	inc-6/15	edu-3/15	empl-8/15	lt5y-3/15	3mu-4/12	popden-1/15	afro-9/13	hetero-7/14	youngm-7/14	own-7/15	sinpar-13/15	Drug/Narcotic Violations	Gas Station	03-2x	ASHLEY
845	371190056052000	GRAYS COLLEGE BOOKSTORE AT CHRLOTTE	GRAYS COLLEGE BOOKSTORE HOLDINGS LL	UNIVERSITY WALK APARTMENTS	ORIGINAL MATTRESS FACTORY	MODERN CUT	inc-10/15	edu-14/15	empl-14/15	lt5y-14/15	3mu-11/12	popden-2/15	afro-5/13	hetero-12/14	youngm-14/14	own-9/15	sinpar-6/15	Drug/Narcotic Violations	Apartment/Duplex Private Res	12-0x	UNIVERSITY WALK
609	371190015051002	INTOWN SUITES MANAGEMENT INC	hotels	drinking	LEISURE TIME FOODS INC	UNIVERSITY FLOORING	inc-8/15	edu-7/15	empl-10/15	lt5y-3/15	3mu-2/12	popden-13/15	afro-7/13	hetero-13/14	youngm-3/14	own-13/15	sinpar-7/15	Drug/Narcotic Violations	Hotel/Motel	08-2x	ROCKY RIVER
839	371190050002003	MISS MOMMY'S DAY CARE	JES TRANSPORTATION	YOUNG WOMENS CHRISTIAN ASSN	BEREAN SEVENTH DAY ADVENTIST	BARNETT TREE SERVICE	inc-9/15	edu-1/15	empl-1/15	lt5y-1/15	3mu-9/12	popden-8/15	afro-13/13	hetero-6/14	youngm-5/14	own-9/15	sinpar-1/15	Drug/Narcotic Violations	Private Residence	11-2x	RUSH WIND
